employeeid,environmentsatisfaction,jobsatisfaction,worklifebalance,age,businesstravel,department,distancefromhome,education,educationfield,gender,joblevel,jobrole,maritalstatus,monthlyincome,numcompaniesworked,percentsalaryhike,stockoptionlevel,totalworkingyears,trainingtimeslastyear,yearsatcompany,yearssincelastpromotion,yearswithcurrmanager,jobinvolvement,performancerating,retirementdate,retirementtype,resignationreason
27,1.0,1.0,3.0,26,travel_frequently,research & development,9,3,life sciences,female,1,manager,married,162910,1,22,0,5.0,3,5,3,3,3,4,,,
28,4.0,4.0,3.0,37,travel_rarely,sales,5,1,marketing,male,1,research scientist,single,27050,1,11,0,17.0,2,17,5,7,3,3,,,
29,4.0,3.0,1.0,44,travel_frequently,research & development,1,2,medical,male,2,research scientist,divorced,103330,3,14,1,19.0,2,1,0,0,2,3,2016-10-15,resignation,others
30,4.0,4.0,3.0,38,travel_rarely,sales,2,3,marketing,female,1,manager,divorced,44480,9,12,0,10.0,3,2,1,2,2,3,,,
31,1.0,2.0,3.0,26,travel_rarely,research & development,4,3,medical,male,3,research scientist,divorced,68540,2,11,0,5.0,5,3,0,2,2,3,2016-08-02,resignation,salary
32,4.0,4.0,3.0,28,travel_rarely,research & development,7,3,other,male,1,human resources,single,96370,1,13,0,5.0,6,5,0,2,2,3,,,
33,3.0,1.0,3.0,49,travel_frequently,research & development,1,1,medical,female,2,research scientist,single,35910,9,13,0,22.0,2,3,1,2,3,3,,,
34,3.0,2.0,3.0,36,travel_rarely,sales,5,3,technical degree,male,3,sales executive,single,54050,4,14,0,10.0,2,8,7,7,3,3,,,
35,4.0,2.0,2.0,31,travel_frequently,research & development,9,4,medical,male,1,sales executive,divorced,46840,1,16,1,2.0,4,2,2,2,3,3,,,
36,4.0,4.0,3.0,26,travel_rarely,research & development,8,3,medical,male,2,manager,single,157870,1,12,2,8.0,5,8,7,4,3,3,2016-06-18,resignation,others
37,2.0,4.0,2.0,37,travel_frequently,sales,9,1,marketing,male,1,laboratory technician,married,15140,1,14,0,4.0,3,4,1,2,3,3,,,
38,3.0,2.0,4.0,42,travel_frequently,sales,2,2,marketing,male,3,research director,married,29560,5,13,0,23.0,2,20,4,8,3,3,,,
39,3.0,3.0,3.0,18,travel_rarely,research & development,1,4,life sciences,male,1,sales executive,single,23350,1,14,2,0.0,3,0,0,0,2,3,2016-04-29,resignation,stress
40,3.0,2.0,2.0,35,travel_rarely,sales,20,2,life sciences,male,1,laboratory technician,married,51540,0,19,0,12.0,2,11,6,9,2,3,,,
41,3.0,2.0,3.0,36,travel_frequently,research & development,8,3,other,female,3,sales executive,married,69620,4,12,2,4.0,2,1,0,0,2,3,,,
42,4.0,2.0,3.0,51,travel_rarely,research & development,2,3,life sciences,male,2,laboratory technician,divorced,56750,5,13,0,13.0,2,4,1,2,2,3,,,
43,4.0,2.0,3.0,41,travel_rarely,research & development,29,1,life sciences,male,1,laboratory technician,single,23790,1,12,0,22.0,6,22,0,4,3,3,,,
44,4.0,3.0,3.0,18,travel_rarely,sales,7,3,life sciences,male,1,research scientist,single,38120,1,15,0,0.0,3,0,0,0,3,3,,,
45,2.0,1.0,3.0,28,travel_rarely,research & development,9,3,medical,male,1,sales representative,single,46480,0,23,2,9.0,2,8,0,7,2,4,,,
46,2.0,4.0,2.0,31,travel_rarely,research & development,8,1,technical degree,male,1,manufacturing director,married,29360,4,12,1,10.0,2,8,7,7,3,3,,,
47,3.0,4.0,2.0,39,travel_rarely,sales,5,4,marketing,female,2,human resources,divorced,21050,0,20,0,19.0,3,18,3,7,3,4,,,
48,2.0,2.0,3.0,36,non-travel,research & development,5,4,life sciences,male,1,sales executive,married,85780,7,21,0,11.0,4,9,0,8,3,4,,,
49,4.0,3.0,2.0,32,travel_rarely,sales,2,3,marketing,male,2,laboratory technician,married,27060,1,21,1,13.0,4,13,4,8,3,4,,,
50,1.0,2.0,3.0,38,travel_rarely,research & development,5,2,life sciences,female,3,research scientist,married,63840,3,19,2,19.0,4,10,0,1,2,3,,,
51,4.0,3.0,3.0,58,non-travel,research & development,2,3,life sciences,male,2,manufacturing director,divorced,39680,2,13,2,12.0,3,5,1,2,2,3,,,
52,3.0,4.0,3.0,31,travel_rarely,research & development,20,1,technical degree,female,3,research scientist,married,99070,0,13,1,6.0,3,5,0,3,2,3,,,
53,1.0,1.0,3.0,31,travel_rarely,sales,7,4,marketing,male,2,sales executive,married,132250,3,21,1,9.0,2,2,1,0,3,4,,,
54,1.0,1.0,3.0,45,travel_frequently,research & development,3,1,medical,female,1,sales executive,divorced,35400,1,13,0,24.0,6,24,9,11,3,3,,,
55,3.0,4.0,1.0,31,travel_rarely,sales,16,4,marketing,female,2,research scientist,divorced,28040,0,19,2,3.0,0,2,2,2,3,3,,,
56,4.0,2.0,3.0,33,travel_frequently,research & development,9,3,life sciences,male,4,research director,married,193920,6,12,1,12.0,3,10,8,8,3,3,,,
57,3.0,1.0,3.0,39,travel_rarely,sales,1,4,life sciences,male,1,sales executive,married,196650,1,22,1,21.0,6,21,11,10,3,4,,,
58,3.0,4.0,3.0,43,travel_frequently,research & development,7,4,medical,male,4,research scientist,single,24390,0,15,0,9.0,2,8,1,7,3,3,,,
59,3.0,3.0,3.0,49,travel_rarely,research & development,1,3,life sciences,male,3,manufacturing director,single,73140,7,22,0,25.0,2,7,0,7,3,4,,,
60,3.0,2.0,2.0,52,travel_rarely,research & development,7,1,life sciences,female,2,research scientist,married,47740,2,18,1,11.0,2,8,7,7,3,3,2016-12-15,resignation,others
61,3.0,2.0,2.0,27,travel_rarely,research & development,15,4,medical,male,3,research scientist,single,39020,1,22,0,4.0,2,4,1,2,3,4,,,
62,3.0,2.0,3.0,32,travel_rarely,research & development,1,3,life sciences,male,3,research scientist,married,26620,1,11,1,13.0,6,13,11,9,4,3,,,
63,4.0,3.0,3.0,27,travel_rarely,research & development,13,2,medical,female,4,research director,single,28560,1,12,2,5.0,5,5,0,4,4,3,,,
64,4.0,4.0,3.0,31,travel_rarely,sales,24,3,life sciences,male,2,healthcare representative,divorced,10810,4,11,3,13.0,4,7,1,7,4,3,,,
65,1.0,4.0,2.0,32,travel_rarely,research & development,7,3,technical degree,male,2,healthcare representative,single,24720,7,13,0,10.0,2,7,0,7,3,3,,,
66,1.0,4.0,2.0,28,travel_rarely,research & development,9,4,medical,male,1,sales executive,married,56730,5,14,1,5.0,4,3,2,2,2,3,2016-01-18,resignation,salary
67,4.0,4.0,3.0,30,travel_rarely,research & development,13,3,life sciences,female,4,research director,married,41970,1,13,0,11.0,3,10,1,9,3,3,,,
68,3.0,3.0,3.0,31,travel_frequently,research & development,2,1,life sciences,female,1,manager,married,97130,1,17,0,10.0,5,10,8,9,2,3,,,
69,3.0,4.0,3.0,39,travel_frequently,research & development,19,4,medical,female,1,research scientist,married,20620,1,13,0,21.0,4,21,13,3,3,3,,,
71,2.0,4.0,2.0,33,travel_frequently,sales,4,2,life sciences,male,4,research scientist,single,47880,3,11,1,9.0,0,7,0,1,3,3,,,
72,4.0,3.0,3.0,47,travel_rarely,research & development,4,3,life sciences,female,2,healthcare representative,married,59060,4,23,0,21.0,4,3,1,1,4,4,,,
73,3.0,3.0,4.0,43,travel_frequently,research & development,14,3,medical,female,5,research director,divorced,38860,1,17,2,9.0,2,9,0,0,3,3,,,
74,3.0,2.0,3.0,27,non-travel,research & development,2,3,life sciences,male,1,research director,married,168230,0,17,0,6.0,3,5,1,4,3,3,,,
75,4.0,3.0,2.0,54,travel_frequently,research & development,1,4,life sciences,male,2,research scientist,single,29330,3,12,2,20.0,2,4,0,3,3,3,,,
76,3.0,1.0,2.0,43,travel_rarely,research & development,7,2,life sciences,female,2,manager,married,65000,8,23,0,10.0,3,1,0,0,3,4,,,
77,4.0,4.0,3.0,45,travel_rarely,sales,3,1,marketing,female,1,sales executive,married,171740,9,14,1,12.0,6,10,9,8,3,3,,,
78,2.0,4.0,2.0,40,travel_rarely,research & development,2,4,other,male,4,research scientist,married,50330,2,14,2,6.0,6,4,0,2,3,3,,,
79,2.0,1.0,2.0,29,travel_rarely,research & development,29,3,medical,female,1,research scientist,married,23070,1,13,1,7.0,0,7,0,7,3,3,2016-02-17,resignation,salary
80,2.0,4.0,3.0,29,travel_rarely,human resources,8,3,medical,male,3,sales representative,single,25870,0,22,2,4.0,3,3,2,2,3,4,,,
81,4.0,3.0,3.0,30,travel_rarely,research & development,10,3,life sciences,male,2,research scientist,divorced,55070,1,12,2,10.0,2,10,1,2,2,3,,,
82,2.0,2.0,3.0,27,travel_rarely,research & development,11,2,medical,male,1,manager,married,43930,1,18,1,8.0,2,8,0,7,2,3,,,
83,4.0,4.0,2.0,37,travel_rarely,sales,1,4,life sciences,male,2,healthcare representative,divorced,133480,7,14,0,8.0,4,6,0,4,3,3,,,
84,3.0,4.0,3.0,38,travel_rarely,research & development,28,4,medical,male,1,laboratory technician,divorced,65830,0,12,0,12.0,1,11,2,9,3,3,,,
85,3.0,4.0,3.0,31,travel_rarely,research & development,6,3,medical,female,3,manager,single,81030,1,15,1,11.0,5,11,4,10,3,3,,,
86,4.0,2.0,3.0,29,travel_rarely,research & development,3,4,life sciences,male,3,sales executive,divorced,39780,1,11,0,7.0,0,7,1,7,3,3,,,
87,3.0,2.0,3.0,35,travel_rarely,sales,16,2,technical degree,male,3,manager,single,25440,0,13,1,17.0,3,16,0,13,4,3,,,
88,3.0,4.0,2.0,23,travel_rarely,research & development,20,4,life sciences,male,1,manufacturing director,divorced,53990,1,23,0,4.0,2,4,0,2,2,4,,,
89,4.0,2.0,3.0,41,travel_rarely,research & development,9,2,life sciences,female,1,laboratory technician,single,54870,6,19,2,8.0,0,5,1,2,3,3,,,
90,2.0,3.0,3.0,47,travel_frequently,sales,1,3,medical,female,2,laboratory technician,single,68340,3,16,1,5.0,2,0,0,0,4,3,,,
91,1.0,4.0,3.0,42,travel_rarely,research & development,3,4,life sciences,male,1,manager,single,10910,2,22,0,16.0,0,1,0,0,1,4,,,
92,4.0,3.0,2.0,29,non-travel,sales,22,4,marketing,male,2,human resources,married,57360,1,22,0,4.0,1,4,0,2,2,4,,,
93,3.0,3.0,3.0,42,travel_rarely,sales,7,4,medical,male,3,research scientist,divorced,22260,0,12,1,4.0,3,3,1,0,2,3,,,
94,3.0,2.0,3.0,32,travel_rarely,research & development,2,3,medical,male,2,research scientist,married,57470,1,13,0,8.0,0,8,0,7,3,3,,,
95,1.0,3.0,1.0,48,travel_rarely,sales,13,4,medical,male,4,sales executive,married,98540,3,16,1,15.0,2,0,0,0,2,3,,,
96,3.0,1.0,3.0,37,travel_rarely,research & development,8,5,technical degree,male,2,manufacturing director,divorced,54670,4,12,0,13.0,2,7,6,7,3,3,,,
97,4.0,3.0,4.0,30,non-travel,sales,25,4,other,male,1,healthcare representative,married,53800,7,21,1,4.0,0,2,2,2,3,4,,,
98,3.0,3.0,3.0,26,travel_rarely,sales,28,3,medical,female,5,laboratory technician,married,51510,1,15,3,8.0,3,8,7,7,3,3,,,
99,1.0,4.0,3.0,42,travel_rarely,sales,2,2,medical,female,1,laboratory technician,single,21330,3,13,2,14.0,2,1,0,0,3,3,,,
100,1.0,2.0,3.0,21,travel_frequently,research & development,9,3,medical,female,4,manufacturing director,single,178750,1,12,0,3.0,5,3,1,2,2,3,2016-02-23,resignation,others
101,4.0,4.0,3.0,36,non-travel,human resources,28,3,human resources,male,2,laboratory technician,single,24320,4,22,0,7.0,4,1,0,0,1,4,,,
102,1.0,4.0,3.0,36,travel_frequently,research & development,6,3,life sciences,female,2,research scientist,married,47710,4,13,1,16.0,2,13,1,12,3,3,,,
103,4.0,3.0,3.0,57,travel_rarely,research & development,21,4,life sciences,male,5,research scientist,married,191610,2,18,0,15.0,2,3,1,2,1,3,,,
104,4.0,3.0,3.0,40,travel_rarely,research & development,8,3,other,male,2,sales executive,married,50870,3,14,1,10.0,3,7,1,7,3,3,,,
105,1.0,4.0,2.0,21,non-travel,research & development,1,5,life sciences,female,2,manager,single,28630,1,14,0,3.0,2,3,2,2,1,3,,,
106,4.0,3.0,3.0,33,travel_rarely,human resources,28,2,human resources,female,5,manager,single,55610,1,21,1,1.0,3,1,0,0,1,4,2016-07-04,resignation,salary
107,3.0,1.0,3.0,37,travel_rarely,research & development,5,3,life sciences,male,4,research scientist,married,21440,6,19,0,17.0,3,5,0,3,4,3,,,
108,3.0,3.0,4.0,46,non-travel,sales,2,4,marketing,female,2,laboratory technician,married,30650,2,11,0,7.0,3,1,0,0,3,3,,,
109,1.0,2.0,3.0,41,travel_frequently,research & development,16,1,medical,female,1,research scientist,single,28100,1,11,0,8.0,3,8,7,7,4,3,2016-08-10,resignation,others
110,4.0,4.0,3.0,50,travel_rarely,research & development,9,3,medical,female,3,laboratory technician,single,98880,6,15,0,20.0,2,4,1,3,3,3,,,
111,3.0,3.0,3.0,40,travel_rarely,research & development,8,3,medical,female,1,healthcare representative,married,86280,2,20,0,8.0,2,6,1,0,2,4,2016-12-08,resignation,stress
112,3.0,2.0,3.0,31,travel_rarely,research & development,1,3,life sciences,male,4,human resources,single,28670,0,24,0,3.0,5,2,2,2,3,4,,,
113,3.0,2.0,3.0,21,travel_rarely,human resources,10,2,human resources,male,1,laboratory technician,single,53730,1,12,1,1.0,2,1,0,0,3,3,2016-10-14,resignation,others
114,4.0,4.0,3.0,29,travel_rarely,research & development,1,3,life sciences,female,2,research director,single,66670,9,12,1,6.0,6,3,1,2,4,3,,,
115,3.0,2.0,3.0,35,travel_rarely,research & development,29,3,life sciences,female,3,sales executive,single,50030,9,15,0,10.0,2,1,0,0,3,3,,,
116,4.0,2.0,3.0,27,travel_rarely,sales,2,3,life sciences,male,1,sales executive,divorced,23670,1,12,1,5.0,2,5,0,4,3,3,,,
117,2.0,4.0,3.0,28,travel_rarely,research & development,2,2,medical,male,3,manager,single,28580,1,12,0,7.0,2,7,0,7,2,3,,,
118,2.0,3.0,3.0,49,travel_rarely,sales,2,3,technical degree,male,2,manufacturing director,single,52040,8,14,1,26.0,3,5,0,0,3,3,,,
119,3.0,4.0,2.0,51,travel_rarely,research & development,1,2,life sciences,male,1,sales executive,married,41050,4,22,1,18.0,2,7,0,7,3,4,,,
120,4.0,3.0,3.0,36,travel_rarely,sales,15,2,life sciences,male,1,sales executive,married,96790,4,12,0,6.0,1,2,2,2,3,3,,,
122,3.0,4.0,3.0,55,travel_rarely,sales,26,3,marketing,male,1,laboratory technician,single,104480,2,13,0,30.0,3,5,1,2,3,3,,,
123,4.0,3.0,4.0,24,travel_rarely,research & development,1,3,life sciences,female,5,manager,divorced,28970,1,18,3,5.0,4,5,0,3,3,3,,,
124,3.0,2.0,3.0,30,travel_rarely,research & development,3,3,life sciences,female,2,manager,married,59680,1,13,0,1.0,3,1,0,0,3,3,,,
125,3.0,2.0,3.0,26,travel_frequently,sales,14,3,life sciences,male,2,manager,single,75100,0,18,3,7.0,3,6,0,4,3,3,2016-02-05,resignation,stress
126,1.0,2.0,3.0,22,travel_rarely,research & development,16,5,other,male,1,research scientist,married,29910,1,19,2,2.0,3,2,1,2,2,3,,,
127,2.0,3.0,3.0,36,travel_rarely,research & development,1,3,medical,female,5,healthcare representative,married,196360,1,12,1,10.0,3,10,9,0,3,3,,,
128,3.0,4.0,3.0,30,travel_frequently,sales,3,2,marketing,male,3,research scientist,single,11290,9,19,0,3.0,2,1,0,0,2,3,2016-07-29,resignation,others
129,4.0,1.0,2.0,37,travel_rarely,research & development,10,1,technical degree,male,1,sales executive,divorced,133410,1,14,1,18.0,3,18,12,17,3,3,,,
130,4.0,2.0,3.0,40,travel_rarely,research & development,6,2,medical,male,3,research scientist,divorced,43320,7,14,2,8.0,3,5,1,3,2,3,,,
131,2.0,1.0,3.0,42,travel_rarely,research & development,2,3,medical,female,4,manager,divorced,110310,3,12,1,8.0,2,5,1,2,2,3,,,
132,3.0,2.0,2.0,37,travel_rarely,sales,9,1,marketing,male,3,sales executive,single,44400,2,11,1,18.0,3,1,0,1,2,3,,,
133,1.0,2.0,3.0,43,travel_rarely,sales,10,2,life sciences,female,1,sales executive,divorced,46170,1,11,0,25.0,2,25,3,9,3,3,,,
134,2.0,3.0,3.0,40,travel_rarely,sales,6,2,life sciences,female,1,laboratory technician,married,26470,6,13,0,20.0,2,1,0,0,2,3,,,
135,1.0,1.0,2.0,54,travel_rarely,human resources,9,3,life sciences,female,2,manufacturing director,married,63230,4,23,1,24.0,2,4,1,2,2,4,,,
136,3.0,3.0,3.0,34,non-travel,research & development,28,3,medical,male,1,laboratory technician,married,56770,9,20,1,6.0,3,3,1,2,3,4,,,
137,2.0,1.0,1.0,31,travel_rarely,research & development,10,4,life sciences,male,3,sales executive,married,21870,1,15,1,13.0,2,13,3,12,2,3,,,
138,4.0,4.0,3.0,43,travel_frequently,sales,14,3,life sciences,female,1,manufacturing director,married,37480,7,14,2,10.0,3,3,1,2,2,3,,,
139,3.0,3.0,3.0,43,travel_rarely,sales,27,4,life sciences,male,2,sales representative,divorced,39770,4,18,1,8.0,3,5,0,2,3,3,,,
140,2.0,4.0,3.0,25,travel_rarely,human resources,7,2,human resources,male,1,manufacturing director,single,86330,1,19,1,5.0,2,5,1,3,4,3,,,
141,2.0,3.0,3.0,37,non-travel,research & development,1,3,medical,male,3,laboratory technician,married,20080,3,22,0,15.0,5,13,10,7,2,4,,,
142,4.0,1.0,3.0,31,travel_rarely,research & development,24,1,medical,male,3,laboratory technician,married,44400,1,13,1,4.0,2,4,3,2,3,3,,,
143,2.0,3.0,3.0,39,travel_frequently,research & development,26,4,technical degree,female,1,sales executive,divorced,30670,1,20,1,21.0,5,21,1,6,1,4,,,
144,3.0,1.0,2.0,56,travel_frequently,research & development,20,4,life sciences,female,3,sales executive,married,53210,9,14,0,36.0,1,7,7,7,3,3,,,
145,2.0,3.0,3.0,30,travel_rarely,sales,5,4,medical,female,2,manufacturing director,single,54100,0,17,1,6.0,2,5,4,4,3,3,,,
146,2.0,1.0,3.0,41,travel_rarely,research & development,7,3,technical degree,female,3,research scientist,married,27820,1,14,0,10.0,2,10,0,7,2,3,,,
147,3.0,1.0,3.0,28,travel_rarely,research & development,7,3,medical,male,3,healthcare representative,divorced,119570,1,13,0,10.0,2,10,1,8,2,3,,,
148,1.0,1.0,3.0,25,travel_rarely,research & development,5,2,life sciences,female,3,laboratory technician,married,26600,5,13,0,6.0,3,2,0,2,3,3,2016-10-01,resignation,salary
149,4.0,3.0,3.0,52,travel_rarely,research & development,26,2,life sciences,female,2,sales representative,married,33750,2,21,0,28.0,2,5,0,4,2,4,,,
150,1.0,4.0,2.0,45,travel_rarely,research & development,2,3,medical,female,1,sales executive,married,50980,3,14,1,8.0,4,2,0,2,3,3,,,
151,4.0,4.0,1.0,52,travel_rarely,research & development,12,3,medical,male,2,research scientist,married,48780,2,11,1,31.0,3,5,1,4,3,3,,,
152,1.0,3.0,3.0,42,travel_frequently,sales,10,3,marketing,female,2,healthcare representative,divorced,28370,2,13,1,19.0,0,5,0,2,2,3,,,
153,3.0,4.0,3.0,30,travel_rarely,sales,25,3,marketing,male,1,sales executive,single,24060,2,20,1,11.0,5,5,0,2,3,4,,,
154,1.0,1.0,1.0,60,travel_rarely,research & development,10,3,life sciences,female,1,manufacturing director,married,22690,5,18,1,33.0,4,29,11,10,3,3,,,
155,3.0,3.0,2.0,46,travel_rarely,sales,19,4,marketing,female,1,sales executive,divorced,41080,2,14,0,19.0,5,10,0,8,2,3,,,
156,4.0,4.0,4.0,42,travel_frequently,research & development,18,4,technical degree,male,4,sales executive,married,132060,0,13,2,7.0,2,6,0,4,3,3,,,
157,1.0,2.0,3.0,24,travel_rarely,research & development,27,2,medical,male,1,research scientist,single,104220,1,17,1,6.0,0,5,1,4,2,3,2016-02-29,resignation,others
158,4.0,3.0,2.0,34,travel_frequently,research & development,5,3,medical,male,2,research scientist,divorced,137440,0,20,1,3.0,3,2,1,0,3,4,2016-03-25,resignation,others
159,4.0,4.0,3.0,38,travel_frequently,sales,3,3,marketing,female,2,sales executive,married,49070,1,11,1,1.0,3,1,0,0,3,3,,,
160,3.0,3.0,3.0,40,travel_rarely,sales,26,4,marketing,female,1,sales executive,married,34820,0,18,1,21.0,2,20,1,12,2,3,,,
161,1.0,4.0,1.0,26,travel_rarely,research & development,3,2,medical,female,4,healthcare representative,divorced,24360,1,24,0,3.0,2,3,0,2,4,4,,,
162,3.0,4.0,1.0,30,non-travel,research & development,15,3,medical,female,2,sales executive,married,23800,4,18,3,9.0,2,5,1,4,2,3,,,
163,2.0,3.0,3.0,29,travel_rarely,research & development,8,3,medical,female,3,manufacturing director,married,194310,1,11,0,10.0,3,10,0,7,3,3,,,
164,3.0,2.0,4.0,29,travel_rarely,research & development,19,4,life sciences,male,3,research scientist,married,17900,5,16,1,6.0,4,2,1,1,2,3,2016-06-30,resignation,others
166,3.0,1.0,3.0,30,non-travel,research & development,2,4,life sciences,female,3,research scientist,married,51310,0,15,1,10.0,2,9,7,8,3,3,,,
167,1.0,4.0,2.0,57,travel_rarely,research & development,2,2,life sciences,male,4,research scientist,divorced,63060,3,12,1,32.0,3,1,0,0,3,3,,,
168,2.0,3.0,3.0,50,travel_rarely,sales,10,4,life sciences,female,3,manager,married,47870,0,12,0,28.0,3,27,15,7,3,3,,,
169,3.0,4.0,2.0,30,non-travel,sales,10,2,life sciences,male,3,laboratory technician,single,188800,0,22,1,12.0,3,11,6,7,3,4,,,
170,3.0,1.0,4.0,60,travel_frequently,research & development,16,3,life sciences,female,4,laboratory technician,married,23390,4,20,0,22.0,4,18,13,11,3,4,,,
171,1.0,4.0,3.0,47,travel_rarely,research & development,1,3,technical degree,male,5,manufacturing director,divorced,135700,5,16,2,20.0,2,5,0,4,2,3,,,
172,1.0,3.0,1.0,46,travel_rarely,sales,4,1,technical degree,male,1,laboratory technician,married,67120,6,21,1,26.0,3,3,0,1,2,4,,,
173,4.0,3.0,3.0,35,travel_rarely,research & development,15,2,medical,female,2,laboratory technician,single,54060,0,12,1,6.0,2,5,4,3,3,3,,,
174,3.0,3.0,3.0,54,travel_rarely,research & development,2,4,medical,male,2,human resources,single,89380,7,11,3,19.0,2,1,0,0,3,3,,,
175,4.0,3.0,3.0,34,travel_rarely,sales,8,2,life sciences,male,1,laboratory technician,divorced,24390,3,11,2,14.0,2,7,5,7,4,3,,,
176,3.0,4.0,3.0,46,travel_rarely,research & development,2,3,life sciences,male,1,healthcare representative,married,88370,2,18,0,15.0,3,3,1,2,2,3,,,
177,3.0,2.0,4.0,31,travel_rarely,research & development,7,3,life sciences,male,2,research director,divorced,53430,1,14,1,13.0,3,13,0,8,3,3,,,
178,2.0,3.0,4.0,33,travel_rarely,research & development,10,3,life sciences,female,4,research director,married,67280,7,22,0,15.0,2,7,7,7,2,4,2016-02-13,resignation,others
179,1.0,4.0,3.0,33,travel_rarely,sales,5,4,marketing,male,2,research director,divorced,66520,7,25,0,8.0,5,4,1,3,3,4,2016-05-07,resignation,salary
180,4.0,2.0,3.0,30,travel_rarely,research & development,2,3,life sciences,male,1,sales executive,single,48500,0,12,1,4.0,4,3,1,2,3,3,,,
181,4.0,3.0,3.0,35,travel_rarely,research & development,12,2,medical,female,2,sales representative,married,28090,4,23,1,10.0,2,8,0,0,1,4,,,
182,1.0,3.0,3.0,31,travel_frequently,research & development,22,2,medical,female,2,sales executive,married,56890,3,15,2,12.0,2,1,0,0,2,3,2016-02-22,resignation,others
